Brewery Index,Beer Index,Scraping Remarks / Errors,Date of latest review,Expression Name,Producer,Bottler,Country of Origin,Drink Type,Drink Category,Age,ABV,88B Website Review Link,Official Description,Producer Website Link,Photo Link
1,1,,"Sun, 21 Jul 2024 13:53:56 +0000",Tiger,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Lager - Pale,,5% ABV,,"Brewed in Singapore since 1932, Tiger Beer is a full-flavored, pilsner-style golden lager with a slightly sweet note and an amazingly clean finish. 2010 World Beer Cup Gold Medal (international style lager).",,https://assets.untappd.com/site/beer_logos_hd/beer-7747_34841_hd.jpeg
1,2,,"Sun, 21 Jul 2024 14:01:27 +0000",Tiger Crystal,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Lager - Pale,,4.5% ABV,,"Deliver intense refreshment with Tiger Crystal, a crisp drink of sterling innovation. Tiger Crystal is ice-filtered with world-class brewing technology for clarity, showcasing intense flavour with an unexpected light and crisp finish and no compromise on character.",,https://assets.untappd.com/site/beer_logos_hd/beer-45628_0b762_hd.jpeg
1,3,,"Sun, 21 Jul 2024 13:36:14 +0000",Anchor Smooth,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Pilsner - Other,,4% ABV,,"Anchor Smooth pilsener beer has been enjoyed for its crisp, smooth and refreshing taste since 1933. Today Anchor is still brewed in the pilsen tradition but with special aromatic European hops to give you an even richer, smoother taste.

In different countries ABV may vary",,https://assets.untappd.com/site/beer_logos_hd/beer-20825_2e0db_hd.jpeg
1,4,,"Sun, 21 Jul 2024 13:35:25 +0000",ABC Extra Stout,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Stout - Foreign / Export,,8% ABV,,"Brewed to stringent international quality standards using only the finest imported roasted malt, hops and yeast, giving you the strength and goodness to revitalise. Brewed and bottled under license from Asia Pacific Breweries, Ltd (Archipelago Brewery Co.)",,https://assets.untappd.com/site/beer_logos_hd/beer-8438_b64c0_hd.jpeg
1,5,,"Wed, 10 Jul 2024 15:42:23 +0000",Tiger White,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Wheat Beer - Witbier / Blanche,,5% ABV,,"Introducing Tiger White, a refreshing wheat beer with a smooth effervescence and zesty finish. Subtle spicy hints of clove, coriander and orange peel deliver a truly distinctive thirst quencher with a bite. Try something new and unique to start your night off right.",,https://assets.untappd.com/site/beer_logos_hd/beer-1315410_8ca41_hd.jpeg
1,6,,"Fri, 19 Jul 2024 15:59:07 +0000",Tiger Black - Strong,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Lager - Dark,,6.9% ABV,,Show Less,,https://assets.untappd.com/site/beer_logos_hd/beer-1489793_bd7cf_hd.jpeg
1,7,,"Sun, 21 Jul 2024 03:46:25 +0000",Tiger Radler,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Shandy / Radler,,2% ABV,,"Tiger Radler is a new variant that combines century-old tradition with modern day innovation. Made with Tiger Beer and natural lemon juice, Tiger Radler offers Double Refreshment. Naturally cloudy and free from additives, Tiger Radler has a brand new taste that is fruity and sharp whilst still being rooted in beer.",,https://assets.untappd.com/site/beer_logos_hd/beer-516409_15c87_hd.jpeg
1,8,,"Mon, 10 Jun 2024 12:56:27 +0000",Tiger Light,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Lager - American Light,,4.1% ABV,,A light fresh and slightly crispy lager.,,https://assets.untappd.com/site/beer_logos_hd/beer-2041142_c2fbd_hd.jpeg
1,9,,"Wed, 17 Jul 2024 16:01:37 +0000",Baron's Strong Brew,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Lager - Strong,,8.8% ABV,,Show Less,,https://assets.untappd.com/site/beer_logos/beer-_8437_37f131c3cf53ed2c47ff7ab2bbdb.jpeg
1,10,,"Sun, 21 Jul 2024 11:10:33 +0000",Raffles Export Lager,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Lager - Pale,,4.2% ABV,,"A full-bodied, tropical brew made with the choicest ingredients for a distinctive, smooth taste.",,https://assets.untappd.com/site/beer_logos_hd/beer-9117_a8481_hd.jpeg
1,11,,"Sat, 20 Jul 2024 13:37:00 +0000",Anchor Strong,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Pilsner - Imperial / Double,,7.2% ABV,,"Brewed for Singapore and Hongkong with 7.2% abv. 

Anchor beer is a Pilsner brewed according to the Pilsen tradition and uses an authentic European recipe. Anchor Strong is brewed through the cold filtration process which removes excess yeast and makes the beer taste extremely smooth and refined compared to other strong beers in the market.",,https://assets.untappd.com/site/beer_logos_hd/beer-246873_4e6f5_hd.jpeg
1,12,,"Sat, 15 Jun 2024 13:22:37 +0000",Gold Crown,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Lager - Pale,,4.5% ABV,,Show Less,,https://assets.untappd.com/site/beer_logos_hd/beer-203244_d1dbd_hd.jpeg
1,13,,"Sat, 20 Jul 2024 13:45:58 +0000",Tiger Soju Infused Lager- Cheeky Plum,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Lager - Other,,5.5% ABV,,Tiger Lager infused Lager with Cheeky Plum Soju,,https://assets.untappd.com/site/assets/images/temp/badge-beer-default.png
1,14,,"Wed, 20 Mar 2024 14:04:13 +0000",Anchor Smooth Draught,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Pilsner - Other,,4.2% ABV,,Refreshing blend of aromatic hops with floral fragrances and a dash of citrus.,,https://assets.untappd.com/site/beer_logos_hd/beer-2208995_49fc4_hd.jpeg
1,15,,"Fri, 19 Jul 2024 03:16:30 +0000",Tiger Silver,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Lager - Pale,,3.8% ABV,,"Brewed with special hops, that makes it light in the stomach and extra smooth to taste.",,https://assets.untappd.com/site/beer_logos_hd/beer-1591048_bc204_hd.jpeg
1,16,,"Sat, 20 Jul 2024 11:03:48 +0000",Tiger Soju-Infused Lager Gutsy Grape,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Lager - Other,,5.5% ABV,,Tiger Soju Gutsy Grape has a well-balanced mix of flavourful soju and refreshing lager. Its fruity aroma and subtle green grape notes add surprising twist to its pleasant taste.,,https://assets.untappd.com/site/assets/images/temp/badge-beer-default.png
1,17,,"Wed, 22 May 2024 09:32:35 +0000",Tiger Radler Grapefruit,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Shandy / Radler,,2% ABV,,Show Less,,https://assets.untappd.com/site/assets/images/temp/badge-beer-default.png
1,18,,"Sun, 08 Jan 2023 14:08:44 +0000",Tiger Seasonal Brew - Orchid,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Lager - Amber / Red,,5.5% ABV,,Orchid infused exclusive only found at Tiger Street Labs.,,https://assets.untappd.com/site/assets/images/temp/badge-beer-default.png
1,19,,"Sun, 21 Jul 2024 08:04:10 +0000",Anchor White,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Lager - Pale,,4.5% ABV,,Show Less,,https://assets.untappd.com/site/assets/images/temp/badge-beer-default.png
1,20,,"Thu, 04 Jul 2024 14:52:00 +0000",Hainan Beer,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Lager - Pale,,4% ABV,,Show Less,,https://assets.untappd.com/site/beer_logos/beer-HainanBeer_145662.jpeg
1,21,,"Sat, 20 Jul 2024 14:36:44 +0000",Tiger Crystal Light,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Lager - Pale,,5% ABV,,Show Less,,https://assets.untappd.com/site/assets/images/temp/badge-beer-default.png
1,22,,"Tue, 16 Jul 2024 16:55:12 +0000",Tiger Black 8.8%,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Malt Liquor,,8.8% ABV,,Starkbier,,https://assets.untappd.com/site/beer_logos_hd/beer-2355467_1de03_hd.jpeg
1,23,,"Fri, 19 Jul 2024 08:38:27 +0000",Bison Special Stout,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Stout - Imperial / Double,,8.8% ABV,,Show Less,,https://assets.untappd.com/site/assets/images/temp/badge-beer-default.png
1,24,,"Thu, 16 Mar 2023 15:08:28 +0000",Baron's Extra Strong Brew,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Malt Liquor,,11.8% ABV,,Show Less,,https://assets.untappd.com/site/beer_logos/beer-_18459_cc744787d01980a50bff57bdb60e.jpeg
1,25,,"Fri, 19 Jul 2024 06:14:09 +0000",Tiger Soju Infused Lager Punchy Peach,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Lager - Other,,4.9% ABV,,"https://www.tigerbeer.com/global/en/tiger-soju

Show Less",,https://assets.untappd.com/site/assets/images/temp/badge-beer-default.png
1,26,,"Sat, 20 Apr 2024 15:34:17 +0000",Krausebourg Lager,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Lager - Pale,,4.2% ABV,,Show Less,,https://assets.untappd.com/site/assets/images/temp/badge-beer-default.png
1,27,,"Wed, 12 Jun 2024 05:53:40 +0000",Anchor Ice,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Lager - American,,5.8% ABV,,Show Less,,https://assets.untappd.com/site/beer_logos_hd/beer-8433_47f42_hd.jpeg
1,28,,"Sun, 14 Jul 2024 04:04:22 +0000",Tiger Radler Pomelo,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Shandy / Radler,,2% ABV,,Show Less,,https://assets.untappd.com/site/assets/images/temp/badge-beer-default.png
1,29,,"Wed, 17 Jul 2024 19:22:58 +0000",ABC Reserve,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Stout - Other,,7% ABV,,Whiskey infused,,https://assets.untappd.com/site/assets/images/temp/badge-beer-default.png
1,30,,"Sat, 08 Jun 2024 04:50:05 +0000",Tiger Special Classic Edition,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Lager - American,,5.5% ABV,,Show Less,,https://assets.untappd.com/site/beer_logos_hd/beer-238656_c7933_hd.jpeg
1,31,,"Mon, 12 Feb 2024 14:25:19 +0000",Tiger Radler Mandarin Orange,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Shandy / Radler,,2% ABV,,"Introducing the new Tiger Radler Mandarin Orange – a combination of Tiger Beer and mandarin orange juide that is fruity, sharp, and invigorating whilst still being rooted in the well-loved bitterness, flavour and aroma of Tiger Beer.

This new brew promises double the refreshment, and makes a perfect accompaniment to your favourite festive food, such as Chinese New Year goodies and “bak kwa” or barbecued pork. The mandarin orange flavour is a nod to yet another local festive icon!",,https://assets.untappd.com/site/beer_logos_hd/beer-1371248_be2da_hd.jpeg
1,32,,"Thu, 27 Jun 2024 10:54:11 +0000",Anchor 97,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Lager - Pale,,4% ABV,,Show Less,,https://assets.untappd.com/site/assets/images/temp/badge-beer-default.png
1,33,,"Tue, 26 Dec 2023 16:49:54 +0000",Tiger Extra Fresh,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Lager - Pale,,5% ABV,,Show Less,,https://assets.untappd.com/site/beer_logos_hd/beer-2353404_be3fc_hd.jpeg
